Regio's;Perioden;aantal;in % van  inwoners 15 jaar of ouder;aantal;km²;km²
Beverwijk;2018;41077;38,1;2290;18,40;1,68
het Bildt;2018;;;;;
De Bilt;2018;42846;34,5;6820;66,12;1,01
Binnenmaas;2018;29098;27,9;12140;69,33;6,24
Bladel;2018;20144;34,1;6170;75,33;0,29
Bladel en Netersel;2018;;;;;
Blaricum;2018;10795;29,4;1080;11,11;4,45
Bleiswijk;2018;;;;;
Bloemendaal;2018;23208;31,4;3710;39,79;5,44
Boarnsterhim;2018;;;;;
Bodegraven;2018;;;;;
Bodegraven-Reeuwijk;2018;33948;31,9;9080;75,38;13,26
Boekel;2018;10502;37,0;3900;34,51;0,01
Ten Boer;2018;7292;32,3;3470;45,31;0,42
Bolsward;2018;;;;;
Borculo;2018;;;;;
Borger;2018;;;;;
Borger-Odoorn;2018;25351;29,0;20500;274,53;3,36
Born;2018;;;;;
Borne;2018;23124;31,0;2180;26,00;0,16
Borsele;2018;22716;30,4;15670;141,57;52,95
Boskoop;2018;;;;;
Boxmeer;2018;28853;34,5;16560;111,44;2,40
Boxtel;2018;30672;34,1;6300;63,73;1,12
Brakel;2018;;;;;
Breda;2018;183448;43,8;5850;125,74;2,94
Brederwiede;2018;;;;;
Breukelen;2018;;;;;
Brielle;2018;17040;30,9;4000;27,55;3,60
Broekhuizen;2018;;;;;
Bronckhorst;2018;36352;31,9;21830;283,50;2,92
Brouwershaven;2018;;;;;
Bruinisse;2018;;;;;
Brummen;2018;20771;30,2;5700;83,65;1,37
Brunssum;2018;28241;30,9;140;17,25;0,09
Budel;2018;;;;;
Bunnik;2018;15214;32,8;3650;36,97;0,60
Bunschoten;2018;21266;28,0;1240;30,38;4,43
Buren;2018;26365;30,3;24280;133,89;9,03
Bussum;2018;;;;;
Capelle aan den IJssel;2018;66854;37,2;0;14,14;1,26
Castricum;2018;35608;34,0;3190;49,68;10,72
Chaam;2018;;;;;
Coevorden;2018;35299;30,6;22200;296,07;3,62
Cothen;2018;;;;;
Cranendonck;2018;20336;31,3;7970;76,40;1,65
Cromstrijen;2018;12826;28,1;3560;54,40;15,92
Cuijk;2018;24911;34,6;7660;51,16;5,91
Culemborg;2018;28195;35,2;770;29,29;1,86
Dalen;2018;;;;;
Dalfsen;2018;28242;31,5;13740;165,07;1,44
Dantumadeel;2018;;;;;
Dantumadiel;2018;18904;31,1;10890;84,66;2,87
Delft;2018;102253;53,2;220;22,65;1,41
Delfzijl;2018;24863;31,8;10510;133,07;94,43
Denekamp;2018;;;;;
Deurne;2018;32137;33,9;12280;116,93;1,42
Deventer;2018;99653;39,1;9290;130,68;3,65
Didam;2018;;;;;
Diemen;2018;28121;48,5;90;11,99;2,04
Diepenheim;2018;;;;;
Diepenveen;2018;;;;;
Diessen;2018;;;;;
Diever;2018;;;;;
Dijk en Waard;2018;;;;;
Dinkelland;2018;26291;34,1;14240;175,71;1,12
Dinteloord en Prinsenland;2018;;;;;
Dinxperlo;2018;;;;;
Dirksland;2018;;;;;
Dodewaard;2018;;;;;
Doesburg;2018;11328;31,2;830;11,53;1,43
Doetinchem;2018;57382;35,9;8300;79,05;0,61
Domburg;2018;;;;;
Dongen;2018;25777;31,9;4150;29,24;0,50
Dongeradeel;2018;23789;33,9;12390;168,12;98,80
Doorn;2018;;;;;
Dordrecht;2018;118426;37,2;1080;78,54;20,93
Drechterland;2018;19440;33,7;10800;58,89;21,70
Driebergen-Rijsenburg;2018;;;;;
Drimmelen;2018;27063;32,1;9360;95,18;24,25
Dronten;2018;40735;32,8;9280;333,57;90,32
Drunen;2018;;;;;
Druten;2018;18701;35,5;5690;37,64;4,82
Duiveland;2018;;;;;
Duiven;2018;25438;31,7;3190;33,90;1,29
Den Dungen;2018;;;;;
Dussen;2018;;;;;
Dwingeloo;2018;;;;;
Echt;2018;;;;;
Echteld;2018;;;;;
Echt-Susteren;2018;31751;31,8;13100;103,07;1,55
Edam-Volendam;2018;35953;33,0;6490;54,33;25,66
Ede;2018;114682;33,6;23340;318,18;0,44
Eelde;2018;;;;;
Eemnes;2018;9112;33,3;660;31,04;2,67
Eemsdelta;2018;;;;;
Eemsmond;2018;15553;33,2;11700;189,46;353,89
Eersel;2018;18778;33,2;10240;82,46;0,86
Egmond;2018;;;;;
Eibergen;2018;;;;;
Eijsden;2018;;;;;
Eijsden-Margraten;2018;25566;30,0;16350;77,74;1,02
Eindhoven;2018;229126;46,4;940;87,66;1,26
Elburg;2018;23107;28,0;6040;63,82;2,09
Elst;2018;;;;;
Emmen;2018;107192;33,0;40610;335,18;11,07
Enkhuizen;2018;18476;34,1;210;12,68;103,56
Enschede;2018;158261;43,4;10860;140,83;1,89
Epe;2018;32863;29,2;10150;156,07;1,30
Ermelo;2018;26793;32,0;3940;85,63;1,69
Esch;2018;;;;;
Etten-Leur;2018;43532;31,8;2210;55,30;0,62
Ferwerderadeel;2018;;;;;
Ferwerderadiel;2018;8671;33,2;8670;100,18;33,00
Fijnaart en Heijningen;2018;;;;;
Franekeradeel;2018;;;;;
De Friese Meren;2018;;;;;
De Fryske Marren;2018;51742;33,1;26480;351,29;197,81
Gaasterlân-Sleat;2018;;;;;
Gasselte;2018;;;;;
Geertruidenberg;2018;21517;32,1;2210;26,63;3,01
Geldermalsen;2018;26818;31,5;12080;99,85;1,88
Geldrop;2018;;;;;
Geldrop-Mierlo;2018;39252;33,1;1520;31,01;0,37
Geleen;2018;;;;;
Gemert;2018;;;;;
Gemert-Bakel;2018;30340;34,9;10690;122,14;1,20
Gendringen;2018;;;;;
Gendt;2018;;;;;
Genemuiden;2018;;;;;
Gennep;2018;17052;35,4;7510;47,62;2,81
Giessenlanden;2018;14551;29,1;13130;63,51;1,59
Gieten;2018;;;;;
Gilze en Rijen;2018;26313;31,8;3120;65,38;0,28
Goedereede;2018;;;;;
Goeree-Overflakkee;2018;49129;27,5;18710;260,48;161,87
Goes;2018;37636;33,0;8070;92,58;9,34
Goirle;2018;23621;30,3;3210;42,99;0,38
Gooise Meren;2018;57337;35,9;6410;41,59;33,62
Goor;2018;;;;;
Gorinchem;2018;36284;35,9;1470;18,83;3,11
Gorssel;2018;;;;;
Gouda;2018;72700;36,9;300;16,50;1,61
Graafstroom;2018;;;;;
Graft-De Rijp;2018;;;;;
Gramsbergen;2018;;;;;
Grave;2018;12419;34,3;3360;27,18;0,85
's-Graveland;2018;;;;;
's-Gravendeel;2018;;;;;
's-Gravenhage (gemeente);2018;532561;47,1;1940;82,45;15,68
's-Gravenmoer;2018;;;;;
's-Gravenzande;2018;;;;;
Groenlo;2018;;;;;
Groesbeek;2018;;;;;
Groningen (gemeente);2018;202810;63,5;9760;94,92;6,58
Grootegast;2018;12143;34,6;11370;86,70;1,04
Grubbenvorst;2018;;;;;
Gulpen;2018;;;;;
Gulpen-Wittem;2018;14196;28,9;11200;73,18;0,18
Haaksbergen;2018;24291;32,8;4900;104,82;0,68
Haaren;2018;14103;34,8;8670;57,70;0,86
Haarlem;2018;159709;45,4;710;29,17;2,92
Haarlemmerliede en Spaarnwoude;2018;5867;38,1;3590;19,22;1,97
Haarlemmermeer;2018;147282;36,2;11030;178,26;6,86
Haelen;2018;;;;;
Halderberge;2018;29888;29,5;7900;74,47;0,75
Halsteren;2018;;;;;
Den Ham;2018;;;;;
Hardenberg;2018;60539;33,1;32920;312,28;4,87
Harderwijk;2018;46832;32,5;3470;38,89;9,38
Hardinxveld-Giessendam;2018;17958;28,5;1570;16,91;2,45
Haren;2018;19860;32,7;4200;45,37;5,36
Harenkarspel;2018;;;;;
Harlingen;2018;15783;33,7;1570;24,96;362,71
Harmelen;2018;;;;;
Hasselt;2018;;;;;
Hattem;2018;12154;27,6;2130;23,08;1,08
Havelte;2018;;;;;
Hedel;2018;;;;;
Heel;2018;;;;;
Heemskerk;2018;39146;33,3;1780;27,34;4,34
Heemstede;2018;27080;32,3;620;9,18;0,47
Heerde;2018;18603;26,3;6240;78,74;1,68
Heerenveen;2018;50192;35,2;20770;190,09;8,08
Heerewaarden;2018;;;;;
Heerhugowaard;2018;55850;36,2;4280;38,21;1,78
Heerjansdam;2018;;;;;
Heerlen;2018;86762;37,0;880;44,94;0,59
Heesch;2018;;;;;
Heeze;2018;;;;;
Heeze-Leende;2018;15886;32,8;5920;104,02;1,03
Heiloo;2018;23099;32,1;990;18,70;0,31
Heino;2018;;;;;
Helden;2018;;;;;
Den Helder;2018;55760;33,5;1960;45,25;133,55
Hellendoorn;2018;35796;31,0;10540;137,91;1,08
Hellevoetsluis;2018;39992;30,2;3050;41,10;20,11
Helmond;2018;90903;35,4;3340;53,18;1,58
Helvoirt;2018;;;;;
Hendrik-Ido-Ambacht;2018;30677;29,6;70;10,61;1,29
Hengelo (Gld.);2018;;;;;
Hengelo (O.);2018;80593;37,1;2870;60,84;0,99
's-Hertogenbosch;2018;153434;41,2;15550;110,25;7,83
Heteren;2018;;;;;
Heumen;2018;16462;31,8;4990;39,76;1,78
Heusden;2018;43723;32,1;9250;78,88;2,34
Heythuysen;2018;;;;;
Hillegom;2018;21812;34,4;2540;12,87;0,59
Hilvarenbeek;2018;15366;32,6;7400;94,85;1,66
Hilversum;2018;89521;40,5;1430;45,61;0,74
Hoeksche Waard;2018;;;;;
Hoevelaken;2018;;;;;
Hoeven;2018;;;;;
Hof van Twente;2018;34930;31,1;13660;212,56;2,85
Het Hogeland;2018;;;;;
Hollands Kroon;2018;47681;32,5;27870;357,34;304,86
Holten;2018;;;;;
Hontenisse;2018;;;;;
Hooge en Lage Mierde;2018;;;;;
Hooge en Lage Zwaluwe;2018;;;;;
Hoogeloon, Hapert en Casteren;2018;;;;;
Hoogeveen;2018;55677;32,8;14690;127,54;1,71
Hoogezand-Sappemeer;2018;;;;;
Hoorn;2018;72806;38,1;160;20,38;33,08
Horst;2018;;;;;
Horst aan de Maas;2018;42271;34,8;21350;188,73;3,19
Houten;2018;49579;34,7;3520;54,94;4,04
Huijbergen;2018;;;;;
Huissen;2018;;;;;
Huizen;2018;41369;32,1;1130;15,81;7,52
Hulst;2018;27472;30,5;17350;201,71;50,11
Hummelo en Keppel;2018;;;;;
Hunsel;2018;;;;;
IJsselham;2018;;;;;
IJsselmuiden;2018;;;;;
IJsselstein;2018;34302;35,6;500;21,07;0,61
Jacobswoude;2018;;;;;
Kaag en Braassem;2018;26625;34,0;10700;63,24;9,00
Kampen;2018;53259;31,5;9960;142,18;19,61
Kapelle;2018;12720;27,4;2610;37,13;12,50
Katwijk;2018;64956;31,6;1350;24,75;6,40
Kerkrade;2018;45823;30,6;340;21,91;0,24
Kerkwijk;2018;;;;;
Kessel;2018;;;;;
Kesteren;2018;;;;;
Klundert;2018;;;;;
Koggenland;2018;22659;35,5;11700;80,32;3,77
Kollumerland en Nieuwkruisland;2018;12827;34,6;8160;109,53;6,82
Korendijk;2018;11097;27,9;10580;76,08;24,39
Krimpen aan den IJssel;2018;29306;29,0;10;7,69;1,26
Krimpenerwaard;2018;55644;31,3;13890;148,40;12,91
Laarbeek;2018;22158;32,3;7850;55,35;0,81
Land van Cuijk;2018;;;;;
Landerd;2018;15332;35,4;6840;70,35;0,35
Landgraaf;2018;37612;30,1;1320;24,58;0,08
Landsmeer;2018;11435;35,4;1630;22,53;3,98
Langbroek;2018;;;;;
Langedijk;2018;27836;34,2;2710;23,88;3,14
Lansingerland;2018;61155;32,8;3590;53,41;2,97
Laren (NH.);2018;11146;28,7;960;12,41;0,00
Leek;2018;19669;32,5;7250;63,18;1,11
Leende;2018;;;;;
Leerdam;2018;21030;32,4;3250;33,76;0,66
Leersum;2018;;;;;
Leeuwarden;2018;122415;45,4;19920;238,38;17,24
Leeuwarderadeel;2018;;;;;
Leiden;2018;124306;53,3;110;21,91;1,36
Leiderdorp;2018;27197;33,9;210;11,58;0,70
Leidschendam;2018;;;;;
Leidschendam-Voorburg;2018;74947;36,5;2320;32,55;3,06
Lelystad;2018;77389;37,0;7550;230,32;535,13
Lemsterland;2018;;;;;
Leudal;2018;35857;32,4;26030;162,73;2,17
Leusden;2018;29755;31,0;3830;58,54;0,35
Lichtenvoorde;2018;;;;;
Liemeer;2018;;;;;
Liempde;2018;;;;;
Lienden;2018;;;;;
De Lier;2018;;;;;
Lieshout;2018;;;;;
Liesveld;2018;;;;;
Limmen;2018;;;;;
Lingewaal;2018;11134;30,4;9740;50,31;4,18
Lingewaard;2018;46372;32,3;11540;62,00;7,14
Lisse;2018;22746;32,5;1600;15,69;0,36
Lith;2018;;;;;
Littenseradiel;2018;;;;;
Lochem;2018;33574;29,7;19120;213,03;2,91
Loenen;2018;;;;;
Loon op Zand;2018;23120;32,7;3230;49,94;0,77
Loosdrecht;2018;;;;;
Lopik;2018;14395;35,3;9100;75,57;3,41
Loppersum;2018;9732;32,8;9730;111,04;0,95
Losser;2018;22547;31,3;7630;98,76;0,86
Luyksgestel;2018;;;;;
Maarheeze;2018;;;;;
Maarn;2018;;;;;
Maarssen;2018;;;;;
Maartensdijk;2018;;;;;
Maasbracht;2018;;;;;
Maasbree;2018;;;;;
Maasdonk;2018;;;;;
Maasdriel;2018;24350;33,2;12620;66,11;9,35
Maasgouw;2018;23697;32,4;16220;45,71;12,41
Maashorst;2018;;;;;
Maasland;2018;;;;;
Maassluis;2018;32518;32,2;100;8,48;1,65
Maastricht;2018;122723;47,4;3320;55,99;4,13
Made;2018;;;;;
Made en Drimmelen;2018;;;;;
Margraten;2018;;;;;
Mariekerke;2018;;;;;
Markelo;2018;;;;;
De Marne;2018;10058;32,5;10060;170,68;69,65
Marum;2018;10488;35,5;6900;64,37;0,52
Maurik;2018;;;;;
Medemblik;2018;44480;34,5;22040;121,42;136,15
Meerlo-Wanssum;2018;;;;;
Meerssen;2018;19039;29,3;7750;26,96;0,74
Meierijstad;2018;80148;34,1;20410;184,09;1,43
Meijel;2018;;;;;
Menaldumadeel;2018;;;;;
Menameradiel;2018;;;;;
Menterwolde;2018;;;;;
Meppel;2018;33410;34,1;6080;55,53;1,50
Middelburg (Z.);2018;48303;34,3;4480;48,42;4,62
Middelharnis;2018;;;;;
Midden-Delfland;2018;19338;33,4;1830;47,19;2,19
Midden-Drenthe;2018;33172;31,5;22630;340,51;5,36
Midden-Groningen;2018;60953;34,1;29180;280,00;15,77
Middenschouwen;2018;;;;;
Middenveld;2018;;;;;
Mierlo;2018;;;;;
Mill en Sint Hubert;2018;10831;33,4;8280;52,23;0,95
Millingen aan de Rijn;2018;;;;;
Moerdijk;2018;36967;30,9;13640;159,15;24,88
Moergestel;2018;;;;;
Molenlanden;2018;;;;;
Molenwaard;2018;29295;29,9;18540;118,21;8,26
Monster;2018;;;;;
Montferland;2018;35627;31,6;13830;105,70;0,94
Montfoort;2018;13879;34,5;2710;37,57;0,63
Mook en Middelaar;2018;7768;31,2;4460;17,38;1,43
Moordrecht;2018;;;;;
Muiden;2018;;;;;
Naaldwijk;2018;;;;;
Naarden;2018;;;;;
Neder-Betuwe;2018;23615;29,3;11380;59,98;7,49
Nederhorst den Berg;2018;;;;;
Nederlek;2018;;;;;
Nederweert;2018;17038;31,4;8350;99,98;1,80
Neede;2018;;;;;
Neerijnen;2018;12397;31,4;12400;65,96;6,94
Niedorp;2018;;;;;
Nieuwegein;2018;62426;36,2;320;23,51;2,14
Nieuwerkerk aan den IJssel;2018;;;;;
Nieuw-Ginneken;2018;;;;;
Nieuwkoop;2018;28269;35,2;15440;78,05;13,11
Nieuw-Lekkerland;2018;;;;;
Nieuwleusen;2018;;;;;
Nieuw-Vossemeer;2018;;;;;
Nijefurd;2018;;;;;
Nijeveen;2018;;;;;
Nijkerk;2018;42307;29,9;6280;69,34;2,70
Nijmegen;2018;175948;54,0;660;53,06;4,54
Nissewaard;2018;84593;33,8;6480;73,58;10,21
Noardeast-Fryslân;2018;;;;;
Noord-Beveland;2018;7314;28,3;7310;85,96;35,62
Noordenveld;2018;32370;30,3;13560;199,41;5,88
Noorder-Koggenland;2018;;;;;
Noordoostpolder;2018;46625;33,3;23220;459,81;135,61
Noordwijk;2018;26056;37,5;1470;35,78;15,74
Noordwijkerhout;2018;16605;36,9;4010;22,59;0,83
Nootdorp;2018;;;;;
Norg;2018;;;;;
Nuenen, Gerwen en Nederwetten;2018;23019;29,4;4210;33,71;0,23
Nunspeet;2018;27114;28,5;8730;128,74;0,80
Nuth;2018;15201;29,0;8080;33,10;0,03
Obdam;2018;;;;;
Odoorn;2018;;;;;
Oegstgeest;2018;23887;34,1;10;7,31;0,66
Oirschot;2018;18558;33,6;9470;101,78;1,06
Oisterwijk;2018;26132;33,0;3350;63,84;1,28
Oldambt;2018;38075;31,5;16520;226,66;69,30
Oldebroek;2018;23504;27,3;9480;97,65;1,18
Oldenzaal;2018;31915;33,1;1420;21,55;0,40
Olst;2018;;;;;
Olst-Wijhe;2018;18023;32,6;8980;113,84;4,53
Ommen;2018;17630;31,7;9050;179,90;2,12
Onderbanken;2018;7857;30,2;3410;21,14;0,11
Oost Gelre;2018;29672;36,3;9040;109,93;0,50
Oost-, West- en Middelbeers;2018;;;;;
Oostburg;2018;;;;;
Oosterhesselen;2018;;;;;
Oosterhout;2018;55147;31,6;5940;71,47;1,62
Oostflakkee;2018;;;;;
Ooststellingwerf;2018;25459;32,4;14700;223,42;2,69
Oostzaan;2018;9735;34,0;920;11,53;4,55
Ootmarsum;2018;;;;;
Opmeer;2018;11526;36,0;4200;41,50;0,44
Opsterland;2018;29753;33,6;19700;224,40;3,24
Oss;2018;90951;34,7;20110;163,16;7,77
Ossendrecht;2018;;;;;
Oud en Nieuw Gastel;2018;;;;;
Oud-Beijerland;2018;24301;30,0;510;18,73;0,88
Oude IJsselstreek;2018;39520;32,7;11790;136,15;1,80
Oudenbosch;2018;;;;;
Ouder-Amstel;2018;13496;38,9;590;24,08;1,71
Ouderkerk;2018;;;;;
Oudewater;2018;10180;36,0;2260;38,90;1,20
Overbetuwe;2018;47481;32,0;12390;109,19;5,90
Papendrecht;2018;32264;29,6;30;9,41;1,38
Peel en Maas;2018;43312;33,8;17250;159,37;1,98
Peize;2018;;;;;
Pekela;2018;12245;32,1;6420;49,04;1,17
Pijnacker;2018;;;;;
Pijnacker-Nootdorp;2018;53634;34,7;1620;37,08;1,53
Prinsenbeek;2018;;;;;
Purmerend;2018;79983;36,3;90;23,15;1,41
Putte;2018;;;;;
Putten;2018;24313;28,2;6180;85,22;2,28
Raalte;2018;37158;33,9;16430;170,99;1,30
Raamsdonk;2018;;;;;
Ravenstein;2018;;;;;
Reeuwijk;2018;;;;;
Reiderland;2018;;;;;
Reimerswaal;2018;22555;30,8;9690;101,80;140,62
Renkum;2018;31338;31,7;4180;45,95;1,28
Renswoude;2018;5175;29,1;2100;18,40;0,11
Reusel;2018;;;;;
Reusel-De Mierden;2018;13040;32,6;5300;77,88;0,78
Rheden;2018;43527;33,5;4550;81,74;2,60
Rhenen;2018;19816;30,5;5450;42,08;1,68
Ridderkerk;2018;45789;30,9;2730;23,72;1,55
Riethoven;2018;;;;;
Rijnsburg;2018;;;;;
Rijnwaarden;2018;;;;;
Rijnwoude;2018;;;;;
Rijsbergen;2018;;;;;
Rijssen;2018;;;;;
Rijssen-Holten;2018;38097;29,0;5090;94,13;0,25
Rijswijk (ZH.);2018;52208;37,5;20;13,96;0,53
Roden;2018;;;;;
Roerdalen;2018;20728;30,0;15040;88,21;0,57
Roermond;2018;57761;37,4;4930;60,81;10,24
Roggel en Neer;2018;;;;;
Rolde;2018;;;;;
De Ronde Venen;2018;43620;34,3;8040;99,92;17,06
Roosendaal;2018;77000;32,9;7040;106,50;0,66
Roosendaal en Nispen;2018;;;;;
Rosmalen;2018;;;;;
Rossum;2018;;;;;
Rotterdam;2018;638712;48,1;5270;217,57;106,59
Rozenburg;2018;;;;;
Rozendaal;2018;1575;23,9;300;27,90;0,02
Rucphen;2018;22401;27,8;7080;64,41;0,06
Ruinen;2018;;;;;
Ruinerwold;2018;;;;;
Ruurlo;2018;;;;;
Sas van Gent;2018;;;;;
Sassenheim;2018;;;;;
Schagen;2018;46379;34,0;22620;168,25;19,03
Scheemda;2018;;;;;
Schermer;2018;;;;;
Scherpenzeel;2018;9751;30,6;620;13,79;0,03
Schiedam;2018;77907;40,6;90;17,82;2,03
Schiermonnikoog;2018;932;34,3;930;40,50;158,56
Schijndel;2018;;;;;
Schinnen;2018;12911;28,7;7100;24,06;0,06
Schipluiden;2018;;;;;
Schoonebeek;2018;;;;;
Schoonhoven;2018;;;;;
Schoorl;2018;;;;;
Schouwen-Duiveland;2018;33687;27,0;20780;229,65;258,56
Sevenum;2018;;;;;
Simpelveld;2018;10561;27,4;1780;16,03;0,00
Sint Anthonis;2018;11577;35,2;9360;99,27;0,49
Sint-Michielsgestel;2018;28673;31,9;8420;58,38;0,96
Sint-Oedenrode;2018;;;;;
Sittard;2018;;;;;
Sittard-Geleen;2018;92956;34,3;9070;79,01;1,58
Skarsterlân;2018;;;;;
Sleen;2018;;;;;
Sliedrecht;2018;25020;31,7;180;12,84;1,18
Slochteren;2018;;;;;
Sluis;2018;23526;29,7;13410;279,36;27,81
Sluis-Aardenburg;2018;;;;;
Smallingerland;2018;55889;35,3;12640;117,31;8,87
Smilde;2018;;;;;
Sneek;2018;;;;;
Soest;2018;46089;32,6;2340;46,24;0,19
Someren;2018;19120;34,1;8080;80,27;1,23
Son en Breugel;2018;16753;31,3;1930;25,95;0,56
Spijkenisse;2018;;;;;
Sprang-Capelle;2018;;;;;
St. Anthonis;2018;;;;;
Stad Delden;2018;;;;;
Stadskanaal;2018;32258;30,3;11960;117,64;2,30
Standdaarbuiten;2018;;;;;
Staphorst;2018;16797;30,9;10440;133,99;1,70
Stede Broec;2018;21670;31,7;350;14,50;1,87
Steenbergen;2018;24781;35,5;7700;146,43;12,72
Steenderen;2018;;;;;
Steenwijk;2018;;;;;
Steenwijkerland;2018;43768;31,7;24020;288,27;33,32
Stein (L.);2018;24987;28,2;4480;21,08;1,72
Stichtse Vecht;2018;64513;34,2;13960;96,10;10,72
Stramproy;2018;;;;;
Strijen;2018;8793;29,8;2510;50,39;7,31
Súdwest-Fryslân;2018;89594;34,7;43280;522,26;384,85
Susteren;2018;;;;;
Swalmen;2018;;;;;
Tegelen;2018;;;;;
Terheijden;2018;;;;;
Terneuzen;2018;54440;29,8;21300;250,38;67,38
Terschelling;2018;4906;41,5;4910;85,26;588,73
Teteringen;2018;;;;;
Texel;2018;13584;32,4;6980;162,00;301,16
Teylingen;2018;36584;34,2;1470;28,38;5,10
Tholen;2018;25583;29,3;12640;146,71;107,30
Thorn;2018;;;;;
Tiel;2018;41465;35,1;2330;32,88;2,63
Tilburg;2018;215521;45,3;3770;116,17;1,96
Tubbergen;2018;21213;33,9;16670;147,00;0,44
Twenterand;2018;33903;30,2;13500;106,17;1,96
Tynaarlo;2018;33462;31,4;19240;143,00;4,70
Tytsjerksteradiel;2018;31870;31,8;19540;148,86;12,54
Ubbergen;2018;;;;;
Uden;2018;41725;35,6;7020;67,00;0,53
Udenhout;2018;;;;;
Uitgeest;2018;13520;35,7;280;19,16;3,13
Uithoorn;2018;29445;36,0;1360;18,14;1,28
Urk;2018;20524;30,3;220;11,51;98,40
Utrecht (gemeente);2018;347483;57,1;2970;93,83;5,38
Utrechtse Heuvelrug;2018;49314;32,9;10870;132,01;1,93
Vaals;2018;9874;31,8;2630;23,89;0,01
Valburg;2018;;;;;
Valkenburg (ZH.);2018;;;;;
Valkenburg aan de Geul;2018;16431;31,2;8690;36,73;0,20
Valkenisse;2018;;;;;
Valkenswaard;2018;30654;31,8;2010;54,92;1,59
Veendam;2018;27508;31,9;4870;76,00;2,68
Veenendaal;2018;64918;31,5;520;19,46;0,26
Veere;2018;21867;27,3;15390;132,56;73,99
Veghel;2018;;;;;
Veldhoven;2018;44925;32,8;2310;31,69;0,20
Velsen;2018;67831;35,3;1030;45,20;17,97
Venhuizen;2018;;;;;
Venlo;2018;101192;34,9;10440;124,25;4,74
Venray;2018;43341;35,1;16050;163,27;1,73
Vessem, Wintelre en Knegsel;2018;;;;;
Vianen;2018;19967;33,4;4170;39,20;3,19
Vierlingsbeek;2018;;;;;
Vijfheerenlanden;2018;;;;;
Vlaardingen;2018;72050;35,7;90;23,57;3,12
Vlagtwedde;2018;;;;;
Vledder;2018;;;;;
Vleuten-De Meern;2018;;;;;
Vlieland;2018;1132;43,7;1130;39,15;276,65
Vlijmen;2018;;;;;
Vlissingen;2018;44485;34,8;630;34,31;310,52
Vlist;2018;;;;;
